关于,about,内容的主题。,The subject matter of the content.,"CommunicateAction, CreativeWork, Event",Thing
文件资料,documentation,进一步描述Web API的详细文档。,Further documentation describing the Web API in more detail.,WebAPI,"CreativeWork, URL"
不发货,doesNotShip,指示作为OfferShippingDetails的一部分，何时不提供运送到特定的shippingDestination。,"Indicates, as part of an OfferShippingDetails, when shipping to a particular shippingDestination is not available.","OfferShippingDetails, ShippingRateSettings",Boolean
域包括,domainIncludes,将属性与一个类联系在一起，该类是期望使用该属性的类型之一。,Relates a property to a class that is (one of) the type(s) the property is expected to be used on.,Property,Class
居所抵押,domiciledMortgage,借款人是否是该物业所在司法管辖区的居民。,Whether borrower is a resident of the jurisdiction where the property is located.,MortgageLoan,Boolean
门时间,doorTime,时间准入将开始。,The time admission will commence.,Event,"DateTime, Time"
剂型,dosageForm,可获得该药物/补充剂的剂型，例如 “药锭”，“悬浮液”，“注射剂”。,"A dosage form in which this drug/supplement is available, e.g. 'tablet', 'suspension', 'injection'.",Drug,Text
剂量表,doseSchedule,给定人群的药物给药方案，根据使用的类型，可以观察，推荐或最大剂量使用。,"A dosing schedule for the drug for a given population, either observed, recommended, or maximum dose based on the type used.","Drug, TherapeuticProcedure",DoseSchedule
剂量单位,doseUnit,剂量单位，例如 'mg'。,"The unit of the dose, e.g. 'mg'.",DoseSchedule,Text
剂量值,doseValue,剂量值，例如 500,"The value of the dose, e.g. 500.",DoseSchedule,"Number, QualitativeValue"
首付,downPayment,在购买昂贵的商品/服务开始时以现金支付的一种付款方式。 付款通常仅占全部购买价格的百分比。,a type of payment made in cash during the onset of the purchase of an expensive good/service. The payment typically represents only a percentage of the full purchase price.,RepaymentSpecification,"MonetaryAmount, Number"
下载网址,downloadUrl,如果可以下载文件，则下载二进制文件的URL。,"If the file can be downloaded, URL to download the binary.",SoftwareApplication,URL
投票数,downvoteCount,从社区收到对此问题，答案或评论的不赞成投票的人数。,"The number of downvotes this question, answer or comment has received from the community.","Comment, Question",Integer
排到,drainsTo,静脉排入的脉管系统。,The vasculature that the vein drains into.,Vein,Vessel
驱动轮配置,driveWheelConfiguration,驱动轮配置，即哪个车轮将通过传动系统从车辆的发动机接收扭矩。,"The drive wheel configuration, i.e. which roadwheels will receive torque from the vehicle's engine via the drivetrain.",Vehicle,"DriveWheelConfigurationValue, Text"
下车地点,dropoffLocation,可以下车地点的地方。,Where a rental car can be dropped off.,RentalCarReservation,Place
下车时间,dropoffTime,可以下车地点时间。,When a rental car can be dropped off.,RentalCarReservation,DateTime
药品,drug,指定用药过程中使用的一种或多种药物,Specifying a drug or medicine used in a medication procedure,"DrugClass, MedicalCondition, Patient, TherapeuticProcedure",Drug
药品类别,drugClass,该药物所属的类别（例如他汀类药物）。,"The class of drug this belongs to (e.g., statins).",Drug,DrugClass
药品单位,drugUnit,测量药物的单位，例如 '5毫克片剂'。,"The unit in which the drug is measured, e.g. '5 mg tablet'.","Drug, DrugCost",Text
duns,duns,Dun＆Bradstreet DUNS编号，用于标识组织或业务人员。,The Dun & Bradstreet DUNS number for identifying an organization or business person.,"Organization, Person",Text
重复疗法,duplicateTherapy,一种重复或重叠的疗法。,A therapy that duplicates or overlaps this one.,MedicalTherapy,MedicalTherapy
持续时间,duration,ISO 8601日期格式的项目（电影，音频录制，事件等）的持续时间。,"The duration of the item (movie, audio recording, event, etc.) in ISO 8601 date format.","Audiobook, Event, MediaObject, Movie, MusicRecording, MusicRelease, QuantitativeValueDistribution, Schedule",Duration
保固期限,durationOfWarranty,保修承诺的期限。常见的unitCode值是ANN（年份），MON（月份）或DAY（天）。,"The duration of the warranty promise. Common unitCode values are ANN for year, MON for months, or DAY for days.",WarrantyPromise,QuantitativeValue
在媒体期间,duringMedia,在执行此指示时代表环境的媒体对象。,A media object representing the circumstances while performing this direction.,HowToDirection,"MediaObject, URL"
提前预付款罚款,earlyPrepaymentPenalty,在提前还清贷款的情况下应支付的罚款额。,The amount to be paid as a penalty in the event of early payment of the loan.,RepaymentSpecification,MonetaryAmount
编辑EIDR,editEIDR,代表电影或电视作品的特定编辑/版本的EIDR（娱乐标识符注册表）标识符。例如，电影名称为“捉鬼敢死队”的电影，其标题EIDR为“ 10.5240 / 7EC7-228A-510A-053E-CBB8-J” ”，进行了多次编辑，例如“ 10.5240 / 1F2A-E1C5-680A-14C6-E76B-I”和“ 10.5240 / 8A35-3BEE-6497-5D12-9E4F-3”。由于schema.org类型（例如电影和TVEpisode）可用于作品和它们的多个作品表达式，可以单独使用titleEIDR（用于一般说明），或与editEIDR一起使用以进行更具体的编辑说明。,"An EIDR (Entertainment Identifier Registry) identifier representing a specific edit / edition for a work of film or television.For example, the motion picture known as ""Ghostbusters"" whose titleEIDR is ""10.5240/7EC7-228A-510A-053E-CBB8-J"", has several edits e.g. ""10.5240/1F2A-E1C5-680A-14C6-E76B-I"" and ""10.5240/8A35-3BEE-6497-5D12-9E4F-3"".Since schema.org types like Movie and TVEpisode can be used for both works and their multiple expressions, it is possible to use titleEIDR alone (for a general description), or alongside editEIDR for a more edit-specific description.",CreativeWork,"Text, URL"
编辑,editor,指定编辑CreativeWork的人员。,Specifies the Person who edited the CreativeWork.,CreativeWork,Person
教育要求,educationRequirements,职位或职业所需的教育背景。,Educational background needed for the position or Occupation.,"JobPosting, Occupation","EducationalOccupationalCredential, Text"
教育结盟,educationalAlignment,与已建立的教育框架的一致性。如果可以使用简单的属性来描述一致性的性质，例如表示资源教或评估能力，则不应使用此属性。,"An alignment to an established educational framework.This property should not be used where the nature of the alignment can be described using a simple property, for example to express that a resource teaches or assesses a competency.",CreativeWork,AlignmentObject
获得教育证书,educationalCredentialAwarded,成功完成本课程或课程后所获得的资格，奖励，证书，文凭或其他教育证书的说明。,"A description of the qualification, award, certificate, diploma or other educational credential awarded as a consequence of successful completion of this course or program.","Course, EducationalOccupationalProgram","EducationalOccupationalCredential, Text, URL"
教育框架,educationalFramework,所描述的资源所面向的框架。,The framework to which the resource being described is aligned.,AlignmentObject,Text
受教育程度,educationalLevel,通过教育或培训环境的进步程度。教育水平的示例包括“初学者”，“中级”或“高级”，以及正式的水平指标集。,"The level in terms of progression through an educational or training context. Examples of educational levels include 'beginner', 'intermediate' or 'advanced', and formal sets of level indicators.","CreativeWork, EducationEvent, EducationalOccupationalCredential","DefinedTerm, Text, URL"
教育计划模式,educationalProgramMode,类似于courseMode，是整个程序的传递媒介或手段。该值可以是文本标签（例如“在线”，“现场”或“混合”；“同步”或“异步”；“全职”或“兼职”）或指向以下术语的URL引用受控词汇表（例如https://ceds.ed.gov/element/001311#Asynchronous）。,"Similar to courseMode, The medium or means of delivery of the program as a whole. The value may either be a text label (e.g. ""online"", ""onsite"" or ""blended""; ""synchronous"" or ""asynchronous""; ""full-time"" or ""part-time"") or a URL reference to a term from a controlled vocabulary (e.g. https://ceds.ed.gov/element/001311#Asynchronous ).",EducationalOccupationalProgram,"Text, URL"
教育角色,educationalRole,教育受众的教育角色。,An educationalRole of an EducationalAudience.,EducationalAudience,Text
教育用途,educationalUse,教育背景下的工作目的；例如“任务”，“小组工作”。,"The purpose of a work in the context of education; for example, 'assignment', 'group work'.",CreativeWork,Text
海拔,elevation,"位置的高程（WGS 84）。值的形式可以是“数字计量单位”（例如“ 1,000 m”，“ 3,200 ft”），而数字本身应被视为以米为单位的值。","The elevation of a location (WGS 84). Values may be of the form 'NUMBER UNIT OF MEASUREMENT' (e.g., '1,000 m', '3,200 ft') while numbers alone should be assumed to be a value in meters.","GeoCoordinates, GeoShape","Number, Text"
符合工作要求的资格,eligibilityToWorkRequirement,这项工作的申请人需要的法律要求，例如公民身份，签证和其他文件。,"The legal requirements such as citizenship, visa and other documentation required for an applicant to this job.",JobPosting,Text
合格的客户类型,eligibleCustomerType,给定报价对其有效的客户类型。,The type(s) of customers for which the given offer is valid.,"Demand, Offer",BusinessEntityType
符合条件的持续时间,eligibleDuration,给定报价有效的持续时间。,The duration for which the given offer is valid.,"Demand, Offer",QuantitativeValue
合格数量,eligibleQuantity,要约或价格规格有效的订购数量的间隔和度量单位。这允许例如指定一定的运费仅对一定数量有效。,The interval and unit of measurement of ordering quantities for which the offer or price specification is valid. This allows e.g. specifying that a certain freight charge is valid only for a certain quantity.,"Demand, Offer, PriceSpecification",QuantitativeValue
符合条件的地区,eligibleRegion,ISO 3166-1（ISO 3166-1 alpha-2）或ISO 3166-2代码，地方或地理形状的地缘政治区域的要约或交付费用规范有效。另请参见ineligibleRegion 。,"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is valid.See also ineligibleRegion.","ActionAccessSpecification, DeliveryChargeSpecification, Demand, Offer","GeoShape, Place, Text"
合格交易量,eligibleTransactionVolume,要约或价格说明对其有效的货币单位的交易量，例如用于表示最小购买量，表示超过一定订购量的免费送货或将接受信用卡的购买限制在一定的最小量。,"The transaction volume, in a monetary unit, for which the offer or price specification is valid, e.g. for indicating a minimal purchasing volume, to express free shipping above a certain order volume, or to limit the acceptance of credit cards to purchases to a certain minimal amount.","Demand, Offer, PriceSpecification",PriceSpecification
电子邮件,email,电子邮件地址。,Email address.,"ContactPoint, Organization, Person",Text
嵌入网址,embedUrl,指向特定视频播放器的URL。通常，这是embed标签的src元素中的信息，不应与loc标签的内容相同。,"A URL pointing to a player for a specific video. In general, this is the information in the src element of an embed tag and should not be the same as the content of the loc tag.",MediaObject,URL
二氧化碳排放量,emissionsCO2,二氧化碳排放量（克/公里）。当与QuantitativeValue结合使用时，请将“ g / km”放入该值的unitText属性中，因为没有针对“ g / km”的UN / CEFACT通用代码。,"The CO2 emissions in g/km. When used in combination with a QuantitativeValue, put ""g/km"" into the unitText property of that value, since there is no UN/CEFACT Common Code for ""g/km"".",Vehicle,Number
雇员,employee,为该组织工作的人。,Someone working for this organization.,Organization,Person
雇员,employees,在该组织工作的人。,People working for this organization.,Organization,Person
雇主概述,employerOverview,对该职位的雇主，职业机会和工作环境的描述。,"A description of the employer, career opportunities and work environment for this position.",JobPosting,Text
雇佣类型,employmentType,就业类型（例如，全职，兼职，合同，临时，季节性，实习）。,"Type of employment (e.g. full-time, part-time, contract, temporary, seasonal, internship).",JobPosting,Text
就业单位,employmentUnit,指示员工报告和/或要在其中执行工作的部门，部门和/或设施。,"Indicates the department, unit and/or facility where the employee reports and/or in which the job is to be performed.",JobPosting,Organization
编码创意作品,encodesCreativeWork,此媒体对象编码的CreativeWork。,The CreativeWork encoded by this media object.,MediaObject,CreativeWork
编码方式,encoding,编码此CreativeWork的媒体对象。此属性是associatedMedia的同义词。,A media object that encodes this CreativeWork. This property is a synonym for associatedMedia.,CreativeWork,MediaObject
编码格式,encodingFormat,通常使用MIME格式表示的媒体类型（请参阅IANA网站和MDN参考），例如如果是CreativeWork具有多个媒体类型表示形式，则可以使用编码来指示每个MediaObject以及特定的encodingFormat信息。未注册或适当位置的编码和文件格式可以而是通过最合适的URL来表示，例如定义网页或Wikipedia / Wikidata条目。,"Media type typically expressed using a MIME format (see IANA site and MDN reference) e.g. application/zip for a SoftwareApplication binary, audio/mpeg for .mp3 etc.).In cases where a CreativeWork has several media type representations, encoding can be used to indicate each MediaObject alongside particular encodingFormat information.Unregistered or niche encoding and file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia/Wikidata entry.","CreativeWork, MediaObject","Text, URL"
编码类型,encodingType,EntryPoint请求支持的编码类型。,The supported encoding type(s) for an EntryPoint request.,EntryPoint,Text
编码方式,encodings,编码此CreativeWork的媒体对象。,A media object that encodes this CreativeWork.,CreativeWork,MediaObject
结束日期,endDate,项目的结束日期和时间（采用ISO 8601日期格式）。,The end date and time of the item (in ISO 8601 date format).,"CreativeWorkSeason, CreativeWorkSeries, DatedMoneySpecification, EducationalOccupationalProgram, Event, Role, Schedule","Date, DateTime"
终点偏移,endOffset,剪辑的结束时间表示为从工作开始起的秒数。,The end time of the clip expressed as the number of seconds from the beginning of the work.,Clip,Number
时间结束,endTime,结束时间。对于保留的事件或服务（例如FoodFoundationReservation），预计结束时间。对于跨越一段时间的操作，执行操作的时间。例如约翰从一月到十二月写了一本书。对于包括音频和视频在内的媒体，它是较大文件中剪辑结尾的时间偏移。请注意，即使使用时间描述日期，Event也会使用startDate / endDate而不是startTime / endTime。在将来的修订版中可能会澄清这种情况。,"The endTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to end. For actions that span a period of time, when the action was performed. e.g. John wrote a book from January to December. For media, including audio and video, it's the time offset of the end of a clip within a larger file.Note that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions.","Action, FoodEstablishmentReservation, MediaObject, Schedule","DateTime, Time"
认可,endorsee,参与者的子属性。受支持的人员/组织。,A sub property of participant. The person/organization being supported.,EndorseAction,"Organization, Person"
背书人,endorsers,支持该计划的人员或组织。,People or organizations that endorse the plan.,Diet,"Organization, Person"
发动机排量,engineDisplacement,内燃机气缸内所有活塞以单次运动扫过的体积。典型单位代码：CMQ表示立方厘米，LTR表示升，INQ表示立方英寸*注1：您可以链接到有关如何使用valueReference属性确定给定值的信息。*注2：您可以使用minValue和maxValue表示范围。,"The volume swept by all of the pistons inside the cylinders of an internal combustion engine in a single movement. Typical unit code(s): CMQ for cubic centimeter, LTR for liters, INQ for cubic inches* Note 1: You can link to information about how the given value has been determined using the valueReference property.* Note 2: You can use minValue and maxValue to indicate ranges.",EngineSpecification,QuantitativeValue
发动机功率,enginePower,"车辆发动机的功率。典型的单位代码：KWT（千瓦），BHP（制动马力），N12（公制马力）（PS，1 PS = 735,49875 W）注1：测量发动机功率的方法有很多。","The power of the vehicle's engine.    Typical unit code(s): KWT for kilowatt, BHP for brake horsepower, N12 for metric horsepower (PS, with 1 PS = 735,49875 W)Note 1: There are many different ways of measuring an engine's power.",EngineSpecification,QuantitativeValue
引擎类型,engineType,为车辆提供动力的发动机类型。,The type of engine or engines powering the vehicle.,EngineSpecification,"QualitativeValue, Text, URL"
娱乐业务,entertainmentBusiness,位置的子属性。发生该行为的娱乐业务。,A sub property of location. The entertainment business where the action occurred.,PerformAction,EntertainmentBusiness
流行病学,epidemiology,相关患者的特征，例如年龄，性别，种族等。,"The characteristics of associated patients, such as age, gender, race etc.","MedicalCondition, PhysicalActivity",Text
插曲,episode,电视连续剧或季节中电视，广播或游戏媒体的一集。,"An episode of a tv, radio or game media within a series or season.","CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries",Episode
剧集编号,episodeNumber,情节在情节的有序组中的位置。,Position of the episode within an ordered group of episodes.,Episode,"Integer, Text"
情节,episodes,电视/电台系列或季节的一集。,An episode of a TV/radio series or season.,"CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries",Episode
等于,equal,定性值的这种排序关系表明主体等于客体。,This ordering relation for qualitative values indicates that the subject is equal to the object.,QualitativeValue,QualitativeValue
错误,error,对于失败的操作，请提供有关失败原因的更多信息。,"For failed actions, more information on the cause of the failure.",Action,Thing
估计费用,estimatedCost,执行说明时估计的一个或多个耗材的成本。,The estimated cost of the supply or supplies consumed when performing instructions.,"HowTo, HowToSupply","MonetaryAmount, Text"
预计飞行时间,estimatedFlightDuration,预计飞行时间。,The estimated time the flight will take.,Flight,"Duration, Text"
估计工资,estimatedSalary,基于各种变量（包括但不限于行业，职位和位置）的职位发布或职业的估计薪水。估计工资通常是由外部组织而不是雇用组织计算的，后者可能未承诺估计价值。,"An estimated salary for a job posting or occupation, based on a variety of variables including, but not limited to industry, job title, and location. Estimated salaries  are often computed by outside organizations rather than the hiring organization, who may not have committed to the estimated value.","JobPosting, Occupation","MonetaryAmount, MonetaryAmountDistribution, Number"
估计风险,estimatesRiskOf,估计其风险的情况，并发症或症状。,"The condition, complication, or symptom whose risk is being estimated.",MedicalRiskEstimator,MedicalEntity
道德政策,ethicsPolicy,关于道德政策的声明，例如有关新闻和出版惯例的NewsMediaOrganization或“餐厅”中描述食物来源政策的页面。就NewsMediaOrganization而言，ethicsPolicy通常是一种描述组织期望的个人，组织和公司行为标准的声明。,"Statement about ethics policy, e.g. of a NewsMediaOrganization regarding journalistic and publishing practices, or of a Restaurant, a page describing food source policies. In the case of a NewsMediaOrganization, an ethicsPolicy is typically a statement describing the personal, organizational, and corporate standards of behavior expected by the organization.","NewsMediaOrganization, Organization","CreativeWork, URL"
事件,event,与该地点，组织或动作相关的即将发生或过去的事件。,"Upcoming or past event associated with this place, organization, or action.","InformAction, InviteAction, JoinAction, LeaveAction, Organization, Place, PlayAction",Event
事件出席模式,eventAttendanceMode,事件的eventAttendanceMode指示事件是在线，离线还是混合发生。,"The eventAttendanceMode of an event indicates whether it occurs online, offline, or a mix.",Event,EventAttendanceModeEnumeration
活动时间表,eventSchedule,将事件与时间表关联。在某些情况下，最好是共享一系列重复事件的时间表，而不是共享各个事件本身的数据。例如，网站或应用程序可能更愿意发布每周体育课的时间表，而不是提供每个事件的数据。时间表可以由应用程序处理，以将即将发生的事件添加到日历中。与使用此属性的计划相关联的事件不应具有startDate或endDate属性。这些是在关联的计划中定义的，从而避免了使用数据的客户端的任何歧义。该属性可能具有重复的值以指定不同的时间表，例如不同的月份或季节。,"Associates an Event with a Schedule. There are circumstances where it is preferable to share a schedule for a series of repeating events rather than data on the individual events themselves. For example, a website or application might prefer to publish a schedule for a weekly      gym class rather than provide data on every event. A schedule could be processed by applications to add forthcoming events to a calendar. An Event that      is associated with a Schedule using this property should not have startDate or endDate properties. These are instead defined within the associated Schedule, this avoids any ambiguity for clients using the data. The property might have repeated values to specify different schedules, e.g. for different months      or seasons.",Event,Schedule
事件状态,eventStatus,事件的eventStatus表示其状态；当事件被取消或重新安排时特别有用。,An eventStatus of an event represents its status; particularly useful when an event is cancelled or rescheduled.,Event,EventStatusType
大事记,events,与这个地点或组织相关的即将发生或过去的事件。,Upcoming or past events associated with this place or organization.,"Organization, Place",Event
证据水平,evidenceLevel,用于制定指南的数据的证据强度（列举）。,Strength of evidence of the data used to formulate the guideline (enumerated).,MedicalGuideline,MedicalEvidenceLevel
证据来源,evidenceOrigin,用于制定指南的数据来源，例如RCT，共识意见等。,"Source of the data used to formulate the guidance, e.g. RCT, consensus opinion, etc.",MedicalGuideline,Text
工作实例,exampleOfWork,该作品是一个示例/实例/实现/派生的创造性作品。,A creative work that this work is an example/instance/realization/derivation of.,CreativeWork,CreativeWork
除日期,exceptDate,定义日期或日期时间，在该日期或日期时间期间不会发生预定事件。该属性允许指定排定的例外。如果将异常指定为DateTime，则仅应将在该特定日期和时间开始的事件排除在计划之外。如果将异常指定为“日期”，则应将排定在该24小时内安排的任何事件排除在排定之外。这样一整天都可以从日程安排中排除，而不必逐项逐项列出事件。,Defines a Date or DateTime during which a scheduled Event will not take place. The property allows exceptions to      a Schedule to be specified. If an exception is specified as a DateTime then only the event that would have started at that specific date and time      should be excluded from the schedule. If an exception is specified as a Date then any event that is scheduled for that 24 hour period should be      excluded from the schedule. This allows a whole day to be excluded from the schedule without having to itemise every scheduled event.,Schedule,"Date, DateTime"
汇率利差,exchangeRateSpread,经纪人或其他中间人买卖外币的价格之间的差额。,The difference between the price at which a broker or other intermediary buys and sells foreign currency.,ExchangeRateSpecification,"MonetaryAmount, Number"
可执行库名称,executableLibraryName,库文件名，例如mscorlib.dll，system.web.dll。,"Library file name e.g., mscorlib.dll, system.web.dll.",APIReference,Text
运动课程,exerciseCourse,位置的子属性。采取此行动的过程。,A sub property of location. The course where this action was taken.,ExerciseAction,Place
锻炼计划,exercisePlan,仪器的子属性。此动作使用的锻炼计划。,A sub property of instrument. The exercise plan used on this action.,ExerciseAction,ExercisePlan
运动相关饮食,exerciseRelatedDiet,仪器的子属性。在此动作中使用的饮食。,A sub property of instrument. The diet used in this action.,ExerciseAction,Diet
运动类型,exerciseType,运动或活动的类型，例如力量训练，柔韧性训练，有氧运动，心脏康复等。,"Type(s) of exercise or activity, such as strength training, flexibility training, aerobics, cardiac rehabilitation, etc.","ExerciseAction, ExercisePlan",Text
exif数据,exifData,此对象的exif数据。,exif data for this object.,ImageObject,"PropertyValue, Text"
预期到达,expectedArrivalFrom,包裹最早到达的日期。,The earliest date the package may arrive.,ParcelDelivery,"Date, DateTime"
预计到货时间,expectedArrivalUntil,包裹可能到达的最晚日期。,The latest date the package may arrive.,ParcelDelivery,"Date, DateTime"
预期预后,expectedPrognosis,在短期或长期的医疗条件下可能出现的结果。,The likely outcome in either the short term or long term of the medical condition.,MedicalCondition,Text
期望接受,expectsAcceptanceOf,在用户执行操作之前必须接受的要约。 例如，用户可能需要先购买电影才能观看它。,"An Offer which must be accepted before the user can perform the Action. For example, the user may need to buy a movie before being able to watch it.","ActionAccessSpecification, ConsumeAction, MediaSubscription",Offer
经验要求,experienceRequirements,描述该职位或职业所需的技能和经验。,Description of skills and experience needed for the position or Occupation.,"JobPosting, Occupation",Text
专家注意事项,expertConsiderations,与计划有关的医学专家建议。,Medical expert advice related to the plan.,Diet,Text
过期,expires,内容过期的日期，不再有用或不可用。 例如，其可用性或相关性是有时间限制的VideoObject或NewsArticle，或者其发布者希望表明它在某个日期之后可能不再相关（或有助于突出显示）的ClaimReview事实检查。,"Date the content expires and is no longer useful or available. For example a VideoObject or NewsArticle whose availability or relevance is time-limited, or a ClaimReview fact check whose publisher wants to indicate that it may no longer be relevant (or helpful to highlight) after some date.",CreativeWork,Date
姓,familyName,姓。 在美国，人员的姓氏。 可以与namedName一起使用，而不是name属性。,"Family name. In the U.S., the last name of an Person. This can be used along with givenName instead of the name property.",Person,Text
脂肪含量,fatContent,脂肪克数。,The number of grams of fat.,NutritionInformation,Mass
传真号码,faxNumber,传真号码。,The fax number.,"ContactPoint, Organization, Person, Place",Text
功能列表,featureList,此应用程序提供的功能或模块（其他应用程序可能需要）。,Features or modules provided by this application (and possibly required by other applications).,SoftwareApplication,"Text, URL"
费用和佣金规范,feesAndCommissionsSpecification,适用于一类金融产品或金融服务组织的费用，佣金和其他术语的描述。,"Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.","FinancialProduct, FinancialService","Text, URL"
纤维含量,fiberContent,纤维克数。,The number of grams of fiber.,NutritionInformation,Mass
文件格式,fileFormat,媒体类型，通常是内容的MIME格式（请参阅IANA网站），例如SoftwareApplication二进制文件的application / zip。在CreativeWork具有多个媒体类型表示形式的情况下，可以使用“编码”指示每个MediaObject以及特定的文件格式信息。可以通过最合适的网址（例如，定义网页或Wikipedia条目。,"Media type, typically MIME format (see IANA site) of the content e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry.",CreativeWork,"Text, URL"
文件大小,fileSize,应用程序/程序包的大小（例如18MB）。在没有单位（MB，KB等）的情况下，将假定为KB。,"Size of the application / package (e.g. 18MB). In the absence of a unit (MB, KB etc.), KB will be assumed.",SoftwareApplication,Text
合格的财政援助,financialAidEligible,学生可以用来支付与该计划相关的学费或费用的经济援助类型或计划。,A financial aid type or program which students may use to pay for tuition or fees associated with the program.,EducationalOccupationalProgram,"DefinedTerm, Text"
首次亮相,firstAppearance,指示在某些CreativeWork中首次出现索赔的情况。,Indicates the first known occurence of a Claim in some CreativeWork.,Claim,CreativeWork
首演,firstPerformance,首次执行工作的日期和地点。,The date and place the work was first performed.,MusicComposition,Event
飞行距离,flightDistance,飞行距离。,The distance of the flight.,Flight,"Distance, Text"
航班号,flightNumber,航班的唯一标识符，包括航空公司的IATA代码。例如，如果描述美联航航班110，其中美联航的IATA代码为“ UA”，则flightNumber为“ UA110”。,"The unique identifier for a flight including the airline IATA code. For example, if describing United flight 110, where the IATA code for United is 'UA', the flightNumber is 'UA110'.",Flight,Text
楼层,floorLevel,多层建筑物中的住宿楼层。由于计数系统在国际上有所不同，因此应尽可能使用本地系统。,"The floor level for an Accommodation in a multi-storey building. Since counting  systems vary internationally, the local system should be used where possible.",Accommodation,Text
下限,floorLimit,下限是必须授权信用卡交易的金额。,A floor limit is the amount of money above which credit card transactions must be authorized.,PaymentCard,MonetaryAmount
地板尺寸,floorSize,住宿的大小，例如典型单位代码：MTK（平方米），FTK（平方英尺）或YDK（平方码）,"The size of the accommodation, e.g. in square meter or squarefoot.Typical unit code(s): MTK for square meter, FTK for square foot, or YDK for square yard","Accommodation, FloorPlan",QuantitativeValue
追随者,followee,对象的子属性。被关注的个人或组织。,A sub property of object. The person or organization being followed.,FollowAction,"Organization, Person"
跟随,follows,最通用的单向社会关系。,The most generic uni-directional social relation.,Person,Person
跟进,followup,执行该程序后的典型或建议的后续护理。,Typical or recommended followup care after the procedure is performed.,MedicalProcedure,Text
食品机构,foodEstablishment,位置的子属性。采取行动的特定食品机构。,A sub property of location. The specific food establishment where the action occurred.,CookAction,"FoodEstablishment, Place"
食物事件,foodEvent,位置的子属性。采取行动的特定食品事件。,A sub property of location. The specific food event where the action occurred.,CookAction,FoodEvent
食物警告,foodWarning,与服用该药物时食用特定食品有关的任何预防措施，指南，禁忌症等。,"Any precaution, guidance, contraindication, etc. related to consumption of specific foods while taking this drug.",Drug,Text
创办人,founder,创建这个组织的人。,A person who founded this organization.,Organization,Person
创办人,founders,创建这个组织的人。,A person who founded this organization.,Organization,Person
成立日期,foundingDate,该组织成立的日期。,The date that this organization was founded.,Organization,Date
创始地点,foundingLocation,本组织成立的地方。,The place where the Organization was founded.,Organization,Place
免费,free,一个标志，指示可以免费访问该项目，事件或地点。,"A flag to signal that the item, event, or place is accessible for free.",PublicationEvent,Boolean
免费送货门槛,freeShippingThreshold,高于（或等于）运费的货币价值。旨在通过OfferShippingSpecification与与该ShippingSettings匹配的shippingSettingsLink一起使用。,A monetary value above which (or equal to) the shipping rate becomes free. Intended to be used via an OfferShippingSpecification with shippingSettingsLink matching this ShippingSettings.,ShippingRateSettings,"DeliveryChargeSpecification, MonetaryAmount"
频率,frequency,多长时间服用一次，例如'日常'。,"How often the dose is taken, e.g. 'daily'.",DoseSchedule,Text
来自位置,fromLocation,位置的子属性。操作前对象或代理的原始位置。,A sub property of location. The original location of the object or the agent before the action.,"ExerciseAction, MoveAction, TransferAction",Place
燃料容量,fuelCapacity,油箱的容量，如果是电动汽车，则为电池的容量。如果要存储的组件有多个，则应指示所有相同类型的存储的总和。典型单位代码：LTR（升），GLL（美国加仑），GLI（英国/英制加仑），AMH（安培小时）（用于电动汽车）。,"The capacity of the fuel tank or in the case of electric cars, the battery. If there are multiple components for storage, this should indicate the total of all storage of the same type.Typical unit code(s): LTR for liters, GLL of US gallons, GLI for UK / imperial gallons, AMH for ampere-hours (for electrical vehicles).",Vehicle,QuantitativeValue
燃油消耗,fuelConsumption,对于给定的车辆，在特定距离或时间段内行驶所消耗的燃油量（例如，每100公里的公升）。注1：不幸的是，没有每100公里公升的标准单位代码。使用unitText表示度量单位，例如L / 100 km。注2：有两种指示燃油消耗的方法，即燃油消耗量（例如每100公里8升）和燃油效率（例如每加仑30英里）。注意：通常，绝对值仅在与行驶速度（“以80 km / h”行驶）或使用方式（“城市交通”）相关时才有用。您可以使用valueReference将燃油消耗的值链接到另一个值。,"The amount of fuel consumed for traveling a particular distance or temporal duration with the given vehicle (e.g. liters per 100 km).Note 1: There are unfortunately no standard unit codes for liters per 100 km.  Use unitText to indicate the unit of measurement, e.g. L/100 km.Note 2: There are two ways of indicating the fuel consumption, fuelConsumption (e.g. 8 liters per 100 km) and fuelEfficiency (e.g. 30 miles per gallon). They are reciprocal.Note 3: Often, the absolute value is useful only when related to driving speed (""at 80 km/h"") or usage pattern (""city traffic""). You can use valueReference to link the value for the fuel consumption to another value.",Vehicle,QuantitativeValue
